# MIB-2
mib-2	1.3.6.1.2.1
svStatErrorOuts	1.3.6.1.4.1.77.1.2.8
svStatPwErrors	1.3.6.1.4.1.77.1.2.9
svStatPermErrors	1.3.6.1.4.1.77.1.2.10
svStatSysErrors	1.3.6.1.4.1.77.1.2.11
svStatSentBytes	1.3.6.1.4.1.77.1.2.12
svStatRcvdBytes	1.3.6.1.4.1.77.1.2.13
svStatAvResponse	1.3.6.1.4.1.77.1.2.14
svSecurityMode	1.3.6.1.4.1.77.1.2.15
svUsers	1.3.6.1.4.1.77.1.2.16
svStatReqBufsNeeded	1.3.6.1.4.1.77.1.2.17
svStatBigBufsNeeded	1.3.6.1.4.1.77.1.2.18
svSessionNumber	1.3.6.1.4.1.77.1.2.19
svSessionTable	1.3.6.1.4.1.77.1.2.20
svSessionEntry	1.3.6.1.4.1.77.1.2.20.1
svSesClientName	1.3.6.1.4.1.77.1.2.20.1.1
svSesUserName	1.3.6.1.4.1.77.1.2.20.1.2
svSesNumOpens	1.3.6.1.4.1.77.1.2.20.1.4
svSesTime	1.3.6.1.4.1.77.1.2.20.1.5
svSesIdleTime	1.3.6.1.4.1.77.1.2.20.1.6
svSesClientType	1.3.6.1.4.1.77.1.2.20.1.7
svSesState	1.3.6.1.4.1.77.1.2.20.1.8
svAutoDisconnects	1.3.6.1.4.1.77.1.2.21
svDisConTime	1.3.6.1.4.1.77.1.2.22
svAuditLogSize	1.3.6.1.4.1.77.1.2.23
svUserNumber	1.3.6.1.4.1.77.1.2.24
svUserTable	1.3.6.1.4.1.77.1.2.25
svUserEntry	1.3.6.1.4.1.77.1.2.25.1
svUserName	1.3.6.1.4.1.77.1.2.25.1.1
svShareNumber	1.3.6.1.4.1.77.1.2.26
svShareTable	1.3.6.1.4.1.77.1.2.27
svShareEntry	1.3.6.1.4.1.77.1.2.27.1
svShareName	1.3.6.1.4.1.77.1.2.27.1.1
svSharePath	1.3.6.1.4.1.77.1.2.27.1.2
svShareComment	1.3.6.1.4.1.77.1.2.27.1.3
svPrintQNumber	1.3.6.1.4.1.77.1.2.28
svPrintQTable	1.3.6.1.4.1.77.1.2.29
svPrintQEntry	1.3.6.1.4.1.77.1.2.29.1
svPrintQName	1.3.6.1.4.1.77.1.2.29.1.1
svPrintQNumJobs	1.3.6.1.4.1.77.1.2.29.1.2
wkstaStatSessStarts	1.3.6.1.4.1.77.1.3.1
wkstaStatSessFails	1.3.6.1.4.1.77.1.3.2
wkstaStatUses	1.3.6.1.4.1.77.1.3.3
wkstaStatUseFails	1.3.6.1.4.1.77.1.3.4
wkstaStatAutoRecs	1.3.6.1.4.1.77.1.3.5
wkstaErrorLogSize	1.3.6.1.4.1.77.1.3.6
wkstaUseNumber	1.3.6.1.4.1.77.1.3.7
wkstaUseTable	1.3.6.1.4.1.77.1.3.8
wkstaUseEntry	1.3.6.1.4.1.77.1.3.8.1
useLocalName	1.3.6.1.4.1.77.1.3.8.1.1
useRemote	1.3.6.1.4.1.77.1.3.8.1.2
useStatus	1.3.6.1.4.1.77.1.3.8.1.3
domPrimaryDomain	1.3.6.1.4.1.77.1.4.1
domLogonDomain	1.3.6.1.4.1.77.1.4.2
domOtherDomainNumber	1.3.6.1.4.1.77.1.4.3
domOtherDomainTable	1.3.6.1.4.1.77.1.4.4
domOtherDomainEntry	1.3.6.1.4.1.77.1.4.4.1
domOtherName	1.3.6.1.4.1.77.1.4.4.1.1
domServerNumber	1.3.6.1.4.1.77.1.4.5
domServerTable	1.3.6.1.4.1.77.1.4.6
domServerEntry	1.3.6.1.4.1.77.1.4.6.1
domServerName	1.3.6.1.4.1.77.1.4.6.1.1
domLogonNumber	1.3.6.1.4.1.77.1.4.7
domLogonTable	1.3.6.1.4.1.77.1.4.8
domLogonEntry	1.3.6.1.4.1.77.1.4.8.1
domLogonUser	1.3.6.1.4.1.77.1.4.8.1.1
domLogonMachine	1.3.6.1.4.1.77.1.4.8.1.2
# MIB-2
mib-2	1.3.6.1.2.1
system	1.3.6.1.2.1.1
interfaces	1.3.6.1.2.1.2
at	1.3.6.1.2.1.3
ip	1.3.6.1.2.1.4
icmp	1.3.6.1.2.1.5
tcp	1.3.6.1.2.1.6
udp	1.3.6.1.2.1.7
egp	1.3.6.1.2.1.8
transmission	1.3.6.1.2.1.10
snmp	1.3.6.1.2.1.11
sysDescr	1.3.6.1.2.1.1.1
sysObjectID	1.3.6.1.2.1.1.2
sysUpTime	1.3.6.1.2.1.1.3
sysContact	1.3.6.1.2.1.1.4
sysName	1.3.6.1.2.1.1.5
sysLocation	1.3.6.1.2.1.1.6
sysServices	1.3.6.1.2.1.1.7
ifNumber	1.3.6.1.2.1.2.1
ifTable	1.3.6.1.2.1.2.2
ifEntry	1.3.6.1.2.1.2.2.1
ifIndex	1.3.6.1.2.1.2.2.1.1
ifDescr	1.3.6.1.2.1.2.2.1.2
ifType	1.3.6.1.2.1.2.2.1.3
ifMtu	1.3.6.1.2.1.2.2.1.4
ifSpeed	1.3.6.1.2.1.2.2.1.5
ifPhysAddress	1.3.6.1.2.1.2.2.1.6
ifAdminStatus	1.3.6.1.2.1.2.2.1.7
ifOperStatus	1.3.6.1.2.1.2.2.1.8
ifLastChange	1.3.6.1.2.1.2.2.1.9
ifInOctets	1.3.6.1.2.1.2.2.1.10
ifInUcastPkts	1.3.6.1.2.1.2.2.1.11
ifInNUcastPkts	1.3.6.1.2.1.2.2.1.12
ifInDiscards	1.3.6.1.2.1.2.2.1.13
ifInErrors	1.3.6.1.2.1.2.2.1.14
ifInUnknownProtos	1.3.6.1.2.1.2.2.1.15
ifOutOctets	1.3.6.1.2.1.2.2.1.16
ifOutUcastPkts	1.3.6.1.2.1.2.2.1.17
ifOutNUcastPkts	1.3.6.1.2.1.2.2.1.18
ifOutDiscards	1.3.6.1.2.1.2.2.1.19
ifOutErrors	1.3.6.1.2.1.2.2.1.20
ifOutQLen	1.3.6.1.2.1.2.2.1.21
ifSpecific	1.3.6.1.2.1.2.2.1.22
atTable	1.3.6.1.2.1.3.1
atEntry	1.3.6.1.2.1.3.1.1
atIfIndex	1.3.6.1.2.1.3.1.1.1
atPhysAddress	1.3.6.1.2.1.3.1.1.2
atNetAddress	1.3.6.1.2.1.3.1.1.3
ipForwarding	1.3.6.1.2.1.4.1
ipDefaultTTL	1.3.6.1.2.1.4.2
ipInReceives	1.3.6.1.2.1.4.3
ipInHdrErrors	1.3.6.1.2.1.4.4
ipInAddrErrors	1.3.6.1.2.1.4.5
ipForwDatagrams	1.3.6.1.2.1.4.6
ipInUnknownProtos	1.3.6.1.2.1.4.7
ipInDiscards	1.3.6.1.2.1.4.8
ipInDelivers	1.3.6.1.2.1.4.9
ipOutRequests	1.3.6.1.2.1.4.10
ipOutDiscards	1.3.6.1.2.1.4.11
ipOutNoRoutes	1.3.6.1.2.1.4.12
ipReasmTimeout	1.3.6.1.2.1.4.13
ipReasmReqds	1.3.6.1.2.1.4.14
ipReasmOKs	1.3.6.1.2.1.4.15
ipReasmFails	1.3.6.1.2.1.4.16
ipFragOKs	1.3.6.1.2.1.4.17
ipFragFails	1.3.6.1.2.1.4.18
ipFragCreates	1.3.6.1.2.1.4.19
ipAddrTable	1.3.6.1.2.1.4.20
ipAddrEntry	1.3.6.1.2.1.4.20.1
ipAdEntAddr	1.3.6.1.2.1.4.20.1.1
ipAdEntIfIndex	1.3.6.1.2.1.4.20.1.2
ipAdEntNetMask	1.3.6.1.2.1.4.20.1.3
ipAdEntBcastAddr	1.3.6.1.2.1.4.20.1.4
ipAdEntReasmMaxSize	1.3.6.1.2.1.4.20.1.5
ipRouteTable	1.3.6.1.2.1.4.21
ipRouteEntry	1.3.6.1.2.1.4.21.1
ipRouteDest	1.3.6.1.2.1.4.21.1.1
ipRouteIfIndex	1.3.6.1.2.1.4.21.1.2
ipRouteMetric1	1.3.6.1.2.1.4.21.1.3
ipRouteMetric2	1.3.6.1.2.1.4.21.1.4
ipRouteMetric3	1.3.6.1.2.1.4.21.1.5
ipRouteMetric4	1.3.6.1.2.1.4.21.1.6
ipRouteNextHop	1.3.6.1.2.1.4.21.1.7
ipRouteType	1.3.6.1.2.1.4.21.1.8
ipRouteProto	1.3.6.1.2.1.4.21.1.9
ipRouteAge	1.3.6.1.2.1.4.21.1.10
ipRouteMask	1.3.6.1.2.1.4.21.1.11
ipRouteMetric5	1.3.6.1.2.1.4.21.1.12
ipRouteInfo	1.3.6.1.2.1.4.21.1.13
ipNetToMediaTable	1.3.6.1.2.1.4.22
ipNetToMediaEntry	1.3.6.1.2.1.4.22.1
ipNetToMediaIfIndex	1.3.6.1.2.1.4.22.1.1
ipNetToMediaPhysAddress	1.3.6.1.2.1.4.22.1.2
ipNetToMediaNetAddress	1.3.6.1.2.1.4.22.1.3
ipNetToMediaType	1.3.6.1.2.1.4.22.1.4
ipRoutingDiscards	1.3.6.1.2.1.4.23
icmpInMsgs	1.3.6.1.2.1.5.1
icmpInErrors	1.3.6.1.2.1.5.2
icmpInDestUnreachs	1.3.6.1.2.1.5.3
icmpInTimeExcds	1.3.6.1.2.1.5.4
icmpInParmProbs	1.3.6.1.2.1.5.5
icmpInSrcQuenchs	1.3.6.1.2.1.5.6
icmpInRedirects	1.3.6.1.2.1.5.7
icmpInEchos	1.3.6.1.2.1.5.8
icmpInEchoReps	1.3.6.1.2.1.5.9
icmpInTimestamps	1.3.6.1.2.1.5.10
icmpInTimestampReps	1.3.6.1.2.1.5.11
icmpInAddrMasks	1.3.6.1.2.1.5.12
icmpInAddrMaskReps	1.3.6.1.2.1.5.13
icmpOutMsgs	1.3.6.1.2.1.5.14
icmpOutErrors	1.3.6.1.2.1.5.15
icmpOutDestUnreachs	1.3.6.1.2.1.5.16
icmpOutTimeExcds	1.3.6.1.2.1.5.17
icmpOutParmProbs	1.3.6.1.2.1.5.18
icmpOutSrcQuenchs	1.3.6.1.2.1.5.19
icmpOutRedirects	1.3.6.1.2.1.5.20
icmpOutEchos	1.3.6.1.2.1.5.21
icmpOutEchoReps	1.3.6.1.2.1.5.22
icmpOutTimestamps	1.3.6.1.2.1.5.23
icmpOutTimestampReps	1.3.6.1.2.1.5.24
icmpOutAddrMasks	1.3.6.1.2.1.5.25
icmpOutAddrMaskReps	1.3.6.1.2.1.5.26
tcpRtoAlgorithm	1.3.6.1.2.1.6.1
tcpRtoMin	1.3.6.1.2.1.6.2
tcpRtoMax	1.3.6.1.2.1.6.3
tcpMaxConn	1.3.6.1.2.1.6.4
tcpActiveOpens	1.3.6.1.2.1.6.5
tcpPassiveOpens	1.3.6.1.2.1.6.6
tcpAttemptFails	1.3.6.1.2.1.6.7
tcpEstabResets	1.3.6.1.2.1.6.8
tcpCurrEstab	1.3.6.1.2.1.6.9
tcpInSegs	1.3.6.1.2.1.6.10
tcpOutSegs	1.3.6.1.2.1.6.11
tcpRetransSegs	1.3.6.1.2.1.6.12
tcpConnTable	1.3.6.1.2.1.6.13
tcpConnEntry	1.3.6.1.2.1.6.13.1
tcpConnState	1.3.6.1.2.1.6.13.1.1
tcpConnLocalAddress	1.3.6.1.2.1.6.13.1.2
tcpConnLocalPort	1.3.6.1.2.1.6.13.1.3
tcpConnRemAddress	1.3.6.1.2.1.6.13.1.4
tcpConnRemPort	1.3.6.1.2.1.6.13.1.5
tcpInErrs	1.3.6.1.2.1.6.14
tcpOutRsts	1.3.6.1.2.1.6.15
udpInDatagrams	1.3.6.1.2.1.7.1
udpNoPorts	1.3.6.1.2.1.7.2
udpInErrors	1.3.6.1.2.1.7.3
udpOutDatagrams	1.3.6.1.2.1.7.4
udpTable	1.3.6.1.2.1.7.5
udpEntry	1.3.6.1.2.1.7.5.1
udpLocalAddress	1.3.6.1.2.1.7.5.1.1
udpLocalPort	1.3.6.1.2.1.7.5.1.2
microsoft	1.3.6.1.4.1.311
software	1.3.6.1.4.1.311.1
systems	1.3.6.1.4.1.311.1.1
os	1.3.6.1.4.1.311.1.1.3
winnt	1.3.6.1.4.1.311.1.1.3.1
performance	1.3.6.1.4.1.311.1.1.3.1.1
memory	1.3.6.1.4.1.311.1.1.3.1.1.1
memoryAvailableBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.1
memoryCommittedBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.2
memoryCommitLimit	1.3.6.1.4.1.311.1.1.3.1.1.1.3
memoryPageFaultsPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.4
memoryWriteCopiesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.5
memoryTransitionFaultsPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.6
memoryCacheFaultsPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.7
memoryDemandZeroFaultsPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.8
memoryPagesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.9
memoryPagesInputPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.10
memoryPageReadsPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.11
memoryPagesOutputPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.12
memoryPageWritesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.1.13
memoryPoolPagedBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.14
memoryPoolNonpagedBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.15
memoryPoolPagedAllocs	1.3.6.1.4.1.311.1.1.3.1.1.1.16
memoryPoolNonpagedAllocs	1.3.6.1.4.1.311.1.1.3.1.1.1.17
memoryFreeSystemPageTableEntries	1.3.6.1.4.1.311.1.1.3.1.1.1.18
memoryCacheBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.19
memoryCacheBytesPeak	1.3.6.1.4.1.311.1.1.3.1.1.1.20
memoryPoolPagedResidentBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.21
memorySystemCodeTotalBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.22
memorySystemCodeResidentBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.23
memorySystemDriverTotalBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.24
memorySystemDriverResidentBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.25
memorySystemCacheResidentBytes	1.3.6.1.4.1.311.1.1.3.1.1.1.26
memoryPercentCommittedBytesInUse	1.3.6.1.4.1.311.1.1.3.1.1.1.27
cpuprocessorTable	1.3.6.1.4.1.311.1.1.3.1.1.2
cpuprocessorEntry	1.3.6.1.4.1.311.1.1.3.1.1.2.1
cpuprocessorIndex	1.3.6.1.4.1.311.1.1.3.1.1.2.1.1
cpuprocessorInstance	1.3.6.1.4.1.311.1.1.3.1.1.2.1.2
cpuPercentProcessorTime	1.3.6.1.4.1.311.1.1.3.1.1.2.1.3
cpuPercentUserTime	1.3.6.1.4.1.311.1.1.3.1.1.2.1.4
cpuPercentPrivilegedTime	1.3.6.1.4.1.311.1.1.3.1.1.2.1.5
cpuInterruptsPerSec	1.3.6.1.4.1.311.1.1.3.1.1.2.1.6
cpuPercentDPCTime	1.3.6.1.4.1.311.1.1.3.1.1.2.1.7
cpuPercentInterruptTime	1.3.6.1.4.1.311.1.1.3.1.1.2.1.8
cpuDPCsQueuedPerSec	1.3.6.1.4.1.311.1.1.3.1.1.2.1.9
cpuDPCRate	1.3.6.1.4.1.311.1.1.3.1.1.2.1.10
cpuDPCBypassesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.2.1.11
cpuAPCBypassesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.2.1.12
netnetwork-SegmentTable	1.3.6.1.4.1.311.1.1.3.1.1.3
netnetwork-SegmentEntry	1.3.6.1.4.1.311.1.1.3.1.1.3.1
netnetwork-SegmentIndex	1.3.6.1.4.1.311.1.1.3.1.1.3.1.1
netnetwork-SegmentInstance	1.3.6.1.4.1.311.1.1.3.1.1.3.1.2
netTotalFramesReceivedPerSecond	1.3.6.1.4.1.311.1.1.3.1.1.3.1.3
netTotalBytesReceivedPerSecond	1.3.6.1.4.1.311.1.1.3.1.1.3.1.4
netBroadcastFramesReceivedPerSecond	1.3.6.1.4.1.311.1.1.3.1.1.3.1.5
netMulticastFramesReceivedPerSecond	1.3.6.1.4.1.311.1.1.3.1.1.3.1.6
netPercentNetworkUtilization	1.3.6.1.4.1.311.1.1.3.1.1.3.1.7
diskphysicalDiskTable	1.3.6.1.4.1.311.1.1.3.1.1.4
diskphysicalDiskEntry	1.3.6.1.4.1.311.1.1.3.1.1.4.1
diskphysicalDiskIndex	1.3.6.1.4.1.311.1.1.3.1.1.4.1.1
diskphysicalDiskInstance	1.3.6.1.4.1.311.1.1.3.1.1.4.1.2
diskCurrentDiskQueueLength	1.3.6.1.4.1.311.1.1.3.1.1.4.1.3
diskPercentDiskTime	1.3.6.1.4.1.311.1.1.3.1.1.4.1.4
diskAvgDiskQueueLength	1.3.6.1.4.1.311.1.1.3.1.1.4.1.5
diskPercentDiskReadTime	1.3.6.1.4.1.311.1.1.3.1.1.4.1.6
diskAvgDiskReadQueueLength	1.3.6.1.4.1.311.1.1.3.1.1.4.1.7
diskPercentDiskWriteTime	1.3.6.1.4.1.311.1.1.3.1.1.4.1.8
diskAvgDiskWriteQueueLength	1.3.6.1.4.1.311.1.1.3.1.1.4.1.9
diskAvgDiskSecPerTransfer	1.3.6.1.4.1.311.1.1.3.1.1.4.1.10
diskAvgDiskSecPerRead	1.3.6.1.4.1.311.1.1.3.1.1.4.1.11
diskAvgDiskSecPerWrite	1.3.6.1.4.1.311.1.1.3.1.1.4.1.12
diskDiskTransfersPerSec	1.3.6.1.4.1.311.1.1.3.1.1.4.1.13
diskDiskReadsPerSec	1.3.6.1.4.1.311.1.1.3.1.1.4.1.14
diskDiskWritesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.4.1.15
diskDiskBytesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.4.1.16
diskDiskReadBytesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.4.1.17
diskDiskWriteBytesPerSec	1.3.6.1.4.1.311.1.1.3.1.1.4.1.18
novell	1.3.6.1.4.1.23
mibDoc	1.3.6.1.4.1.23.2
nwalarm-mib	1.3.6.1.4.1.23.2.10
trapinfo	1.3.6.1.4.1.23.2.10.1
memoryAddress	1.3.6.1.4.1.23.2.10.1.1
auditEventNumber	1.3.6.1.4.1.23.2.10.1.2
blockNumber	1.3.6.1.4.1.23.2.10.1.3
numberOfBlocks	1.3.6.1.4.1.23.2.10.1.4
packetSize	1.3.6.1.4.1.23.2.10.1.5
boardNumber	1.3.6.1.4.1.23.2.10.1.6
codeOffset	1.3.6.1.4.1.23.2.10.1.7
connectionNumber	1.3.6.1.4.1.23.2.10.1.8
dataStreamNumber	1.3.6.1.4.1.23.2.10.1.9
diskSpace	1.3.6.1.4.1.23.2.10.1.10
domainName	1.3.6.1.4.1.23.2.10.1.11
resourceDescription	1.3.6.1.4.1.23.2.10.1.12
deviceName	1.3.6.1.4.1.23.2.10.1.13
dosType	1.3.6.1.4.1.23.2.10.1.14
errorNumber	1.3.6.1.4.1.23.2.10.1.15
exceptionName	1.3.6.1.4.1.23.2.10.1.16
eipAddress	1.3.6.1.4.1.23.2.10.1.17
fileName	1.3.6.1.4.1.23.2.10.1.18
pathName	1.3.6.1.4.1.23.2.10.1.19
fileOffset	1.3.6.1.4.1.23.2.10.1.20
ncpFunctionNumber	1.3.6.1.4.1.23.2.10.1.21
fileSize	1.3.6.1.4.1.23.2.10.1.22
fileValue	1.3.6.1.4.1.23.2.10.1.23
fileLength	1.3.6.1.4.1.23.2.10.1.24
interruptNumber	1.3.6.1.4.1.23.2.10.1.25
nlmName	1.3.6.1.4.1.23.2.10.1.26
mediaLabel	1.3.6.1.4.1.23.2.10.1.27
message	1.3.6.1.4.1.23.2.10.1.28
numberOfFailedMemoryAllocAttempts	1.3.6.1.4.1.23.2.10.1.29
numberOfResources	1.3.6.1.4.1.23.2.10.1.30
networkAddress	1.3.6.1.4.1.23.2.10.1.31
numberOfFailedFileLockRequests	1.3.6.1.4.1.23.2.10.1.32
processName	1.3.6.1.4.1.23.2.10.1.33
partitionNumber	1.3.6.1.4.1.23.2.10.1.34
protocolName	1.3.6.1.4.1.23.2.10.1.35
numberOfPackets	1.3.6.1.4.1.23.2.10.1.36
resourceName	1.3.6.1.4.1.23.2.10.1.37
numberOfFailedRecordLockRequests	1.3.6.1.4.1.23.2.10.1.38
serverName	1.3.6.1.4.1.23.2.10.1.39
stationNumber	1.3.6.1.4.1.23.2.10.1.40
networkAddress1	1.3.6.1.4.1.23.2.10.1.41
ncpSubFunctionNumber	1.3.6.1.4.1.23.2.10.1.42
nlmSeverity	1.3.6.1.4.1.23.2.10.1.43
trapTime	1.3.6.1.4.1.23.2.10.1.44
taskNumber	1.3.6.1.4.1.23.2.10.1.45
numberOfTransactions	1.3.6.1.4.1.23.2.10.1.46
serverTime	1.3.6.1.4.1.23.2.10.1.47
pathFileName	1.3.6.1.4.1.23.2.10.1.48
userName	1.3.6.1.4.1.23.2.10.1.49
volumeName	1.3.6.1.4.1.23.2.10.1.50
volumeNumber	1.3.6.1.4.1.23.2.10.1.51
lanDriverName	1.3.6.1.4.1.23.2.10.1.52
routerName	1.3.6.1.4.1.23.2.10.1.53
macAddress	1.3.6.1.4.1.23.2.10.1.54
macAddress1	1.3.6.1.4.1.23.2.10.1.55
numberOfConnections	1.3.6.1.4.1.23.2.10.1.56
socketNumber	1.3.6.1.4.1.23.2.10.1.57
accountName	1.3.6.1.4.1.23.2.10.1.58
fileMiscInfo	1.3.6.1.4.1.23.2.10.1.59
callBackNumber	1.3.6.1.4.1.23.2.10.1.60
baudRate	1.3.6.1.4.1.23.2.10.1.61
objectName	1.3.6.1.4.1.23.2.10.1.62
userName1	1.3.6.1.4.1.23.2.10.1.63
dosType1	1.3.6.1.4.1.23.2.10.1.64
blockNumber1	1.3.6.1.4.1.23.2.10.1.65
internalNetworkAddress	1.3.6.1.4.1.23.2.10.1.66
internalNetworkAddress1	1.3.6.1.4.1.23.2.10.1.67
macAddress2	1.3.6.1.4.1.23.2.10.1.68
serverName1	1.3.6.1.4.1.23.2.10.1.69
socketNumber1	1.3.6.1.4.1.23.2.10.1.70
fileMiscInfo1	1.3.6.1.4.1.23.2.10.1.71
fileSize1	1.3.6.1.4.1.23.2.10.1.72
fileSize2	1.3.6.1.4.1.23.2.10.1.73
packetSize1	1.3.6.1.4.1.23.2.10.1.74
diskName	1.3.6.1.4.1.23.2.10.1.75
reason	1.3.6.1.4.1.23.2.10.1.76
maximumPercent	1.3.6.1.4.1.23.2.10.1.77
iRamLength	1.3.6.1.4.1.23.2.10.1.78
iTimerTicks	1.3.6.1.4.1.23.2.10.1.79
pollingLoops	1.3.6.1.4.1.23.2.10.1.80
iHopsCount	1.3.6.1.4.1.23.2.10.1.81
synchronizationRadius	1.3.6.1.4.1.23.2.10.1.82
cmmndLnPrmtr	1.3.6.1.4.1.23.2.10.1.83
volumePercentage	1.3.6.1.4.1.23.2.10.1.84
szReason	1.3.6.1.4.1.23.2.10.1.85
iRamStart	1.3.6.1.4.1.23.2.10.1.86
novell	1.3.6.1.4.1.23
mibDoc	1.3.6.1.4.1.23.2
nwHostExtensions	1.3.6.1.4.1.23.2.27
nwhrStorage	1.3.6.1.4.1.23.2.27.2
nwhrDevice	1.3.6.1.4.1.23.2.27.3
nwhrOdi	1.3.6.1.4.1.23.2.27.10
nwhrStorageTypes	1.3.6.1.4.1.23.2.27.2.1
nwhrStorageVolume	1.3.6.1.4.1.23.2.27.2.1.1
nwhrStorageMemoryPermanent	1.3.6.1.4.1.23.2.27.2.1.2
nwhrStorageMemoryAlloc	1.3.6.1.4.1.23.2.27.2.1.3
nwhrStorageCacheBuffers	1.3.6.1.4.1.23.2.27.2.1.4
nwhrStorageCacheMovable	1.3.6.1.4.1.23.2.27.2.1.5
nwhrStorageCacheNonMovable	1.3.6.1.4.1.23.2.27.2.1.6
nwhrStorageCodeAndDataMemory	1.3.6.1.4.1.23.2.27.2.1.7
nwhrStorageDOSMemory	1.3.6.1.4.1.23.2.27.2.1.8
nwhrStorageIOEngineMemory	1.3.6.1.4.1.23.2.27.2.1.9
nwhrStorageMSEngineMemory	1.3.6.1.4.1.23.2.27.2.1.10
nwhrStorageUnclaimedMemory	1.3.6.1.4.1.23.2.27.2.1.11
nwhrDeviceTypes	1.3.6.1.4.1.23.2.27.3.1
nwhrDeviceMirroredServerLink	1.3.6.1.4.1.23.2.27.3.1.1
nwhrDeviceTable	1.3.6.1.4.1.23.2.27.3.2
nwhrDeviceEntry	1.3.6.1.4.1.23.2.27.3.2.1
nwhrDeviceAdapterIndex	1.3.6.1.4.1.23.2.27.3.2.1.1
nwhrDeviceControllerNumber	1.3.6.1.4.1.23.2.27.3.2.1.2
nwhrDeviceNumber	1.3.6.1.4.1.23.2.27.3.2.1.3
nwhrProcessorCount	1.3.6.1.4.1.23.2.27.3.3
nwhrPrinterCount	1.3.6.1.4.1.23.2.27.3.4
nwhrDiskStorageCount	1.3.6.1.4.1.23.2.27.3.5
nwhrDiskStorageTable	1.3.6.1.4.1.23.2.27.3.6
nwhrDiskStorageEntry	1.3.6.1.4.1.23.2.27.3.6.1
nwhrDiskStorageHeads	1.3.6.1.4.1.23.2.27.3.6.1.1
nwhrDiskStorageCylinders	1.3.6.1.4.1.23.2.27.3.6.1.2
nwhrDiskStorageSectorsPerTrack	1.3.6.1.4.1.23.2.27.3.6.1.3
nwhrDiskStorageSectorSize	1.3.6.1.4.1.23.2.27.3.6.1.4
nwhrDiskStorageBlockSize	1.3.6.1.4.1.23.2.27.3.6.1.5
nwhrPhysicalPartitionTable	1.3.6.1.4.1.23.2.27.3.7
nwhrPhysicalPartitionEntry	1.3.6.1.4.1.23.2.27.3.7.1
nwhrPhysicalPartitionIndex	1.3.6.1.4.1.23.2.27.3.7.1.1
nwhrPhysicalPartitionType	1.3.6.1.4.1.23.2.27.3.7.1.2
nwhrPhysicalPartitionDescr	1.3.6.1.4.1.23.2.27.3.7.1.3
nwhrPhysicalPartitionSize	1.3.6.1.4.1.23.2.27.3.7.1.4
nwhrHotfixTable	1.3.6.1.4.1.23.2.27.3.8
nwhrHotfixEntry	1.3.6.1.4.1.23.2.27.3.8.1
nwhrHotfixUnits	1.3.6.1.4.1.23.2.27.3.8.1.1
nwhrHotfixTotal	1.3.6.1.4.1.23.2.27.3.8.1.2
nwhrHotfixUsed	1.3.6.1.4.1.23.2.27.3.8.1.3
nwhrHotfixReserved	1.3.6.1.4.1.23.2.27.3.8.1.4
nwhrAdapterCount	1.3.6.1.4.1.23.2.27.3.9
nwhrAdapterTable	1.3.6.1.4.1.23.2.27.3.10
nwhrAdapterEntry	1.3.6.1.4.1.23.2.27.3.10.1
nwhrAdapterIndex	1.3.6.1.4.1.23.2.27.3.10.1.1
nwhrAdapterType	1.3.6.1.4.1.23.2.27.3.10.1.2
nwhrAdapterDescr	1.3.6.1.4.1.23.2.27.3.10.1.3
nwhrAdapterDriverDescr	1.3.6.1.4.1.23.2.27.3.10.1.4
nwhrAdapterDriverMajorVer	1.3.6.1.4.1.23.2.27.3.10.1.5
nwhrAdapterDriverMinorVer	1.3.6.1.4.1.23.2.27.3.10.1.6
nwhrAdapterPort1	1.3.6.1.4.1.23.2.27.3.10.1.7
nwhrAdapterPort1Len	1.3.6.1.4.1.23.2.27.3.10.1.8
nwhrAdapterPort2	1.3.6.1.4.1.23.2.27.3.10.1.9
nwhrAdapterPort2Len	1.3.6.1.4.1.23.2.27.3.10.1.10
nwhrAdapterMem1	1.3.6.1.4.1.23.2.27.3.10.1.11
nwhrAdapterMem1Len	1.3.6.1.4.1.23.2.27.3.10.1.12
